episode,timesteps,reward,distance,collision,pedestrian_collision
1,453,-10.00,7.00,True,True
2,443,-10.00,7.00,True,True
3,441,-10.00,7.00,True,True
4,427,-10.00,7.00,True,True
5,421,-10.00,7.00,True,True
6,434,-10.00,7.00,True,True
7,427,-10.00,7.00,True,True
8,431,-10.00,7.00,True,True
9,451,-10.00,7.00,True,True
10,437,-10.00,7.00,True,True
11,462,-10.00,7.00,True,True
12,431,-10.00,7.00,True,True
13,468,-10.00,7.00,True,True
14,417,-10.00,7.00,True,True
15,447,-10.00,7.00,True,True
16,434,-10.00,7.00,True,True
17,443,-10.00,7.00,True,True
18,414,-10.00,7.00,True,True
19,432,-10.00,7.00,True,True
20,408,-10.00,7.00,True,True
