episode,timesteps,reward,distance,collision,pedestrian_collision
1,403,-200.00,7.00,True,True
2,413,-200.00,7.00,True,True
3,402,-200.00,7.00,True,True
4,398,-200.00,7.00,True,True
5,366,-200.00,7.00,True,True
6,379,-200.00,7.00,True,True
7,364,-200.00,7.00,True,True
8,391,-200.00,7.00,True,True
9,382,-200.00,7.00,True,True
10,404,-200.00,7.00,True,True
11,580,-10.00,14.00,False,False
12,654,-10.00,18.00,False,False
13,667,-10.00,17.00,False,False
14,808,-10.00,24.00,False,False
15,386,-200.00,7.00,True,True
16,705,-10.00,18.00,False,False
17,829,-10.00,26.00,False,False
18,692,-10.00,16.00,False,False
19,628,-10.00,16.00,False,False
20,696,-10.00,17.00,False,False
21,1149,-10.00,37.00,False,False
22,386,-200.00,7.00,True,True
23,1889,-10.00,59.00,False,False
24,1909,-10.00,58.00,False,False
25,384,-200.00,7.00,True,True
26,1746,-10.00,62.00,False,False
27,1897,-10.00,57.00,False,False
28,1855,-10.00,57.00,False,False
29,384,-200.00,7.00,True,True
30,1775,-10.00,60.00,False,False
