episode,timesteps,reward,distance,collision,pedestrian_collision
1,434,-200.00,7.00,True,True
2,461,-200.00,7.00,True,True
3,422,-200.00,7.00,True,True
4,454,-200.00,7.00,True,True
5,394,-200.00,7.00,True,True
6,460,-200.00,7.00,True,True
7,399,-200.00,7.00,True,True
8,451,-200.00,7.00,True,True
9,408,-200.00,7.00,True,True
10,440,-200.00,7.00,True,True
11,429,-200.00,7.00,True,True
12,470,-200.00,7.00,True,True
13,459,-200.00,7.00,True,True
14,478,-200.00,7.00,True,True
15,432,-200.00,7.00,True,True
16,485,-200.00,7.00,True,True
17,455,-200.00,7.00,True,True
18,471,-200.00,7.00,True,True
19,451,-200.00,7.00,True,True
20,461,-200.00,7.00,True,True
21,480,-200.00,7.00,True,True
22,521,-200.00,7.00,True,True
23,460,-200.00,7.00,True,True
24,509,-200.00,7.00,True,True
25,457,-200.00,7.00,True,True
26,468,-200.00,7.00,True,True
27,466,-200.00,7.00,True,True
28,504,-200.00,7.00,True,True
29,463,-200.00,7.00,True,True
30,498,-200.00,7.00,True,True
31,521,-200.00,7.00,True,True
32,538,-200.00,7.00,True,True
33,504,-200.00,7.00,True,True
34,544,-200.00,7.00,True,True
35,490,-200.00,7.00,True,True
36,504,-200.00,7.00,True,True
37,514,-200.00,7.00,True,True
38,549,-200.00,7.00,True,True
39,502,-200.00,7.00,True,True
40,518,-200.00,7.00,True,True
41,622,-200.00,7.00,True,True
42,693,-200.00,7.00,True,True
43,619,-200.00,7.00,True,True
44,651,-200.00,7.00,True,True
45,657,-200.00,7.00,True,True
46,628,-200.00,7.00,True,True
47,605,-200.00,7.00,True,True
48,659,-200.00,7.00,True,True
49,640,-200.00,7.00,True,True
50,628,-200.00,7.00,True,True
51,798,-200.00,7.00,True,True
52,753,-200.00,7.00,True,True
53,787,-200.00,7.00,True,True
54,867,-200.00,7.00,True,True
55,773,-200.00,7.00,True,True
56,853,-200.00,7.00,True,True
57,868,-200.00,7.00,True,True
58,829,-200.00,7.00,True,True
59,761,-200.00,7.00,True,True
60,813,-200.00,7.00,True,True
61,1090,-200.00,7.00,True,True
62,1029,-200.00,7.00,True,True
63,1233,-200.00,7.00,True,True
64,951,-10.00,5.00,False,False
65,1888,-10.00,12.00,False,False
66,1092,-200.00,7.00,True,True
67,1194,-10.00,6.00,False,False
68,1001,-200.00,7.00,True,True
69,1714,-200.00,11.00,True,True
70,1099,-10.00,6.00,False,False
71,806,-10.00,2.00,False,False
72,1126,-10.00,5.00,False,False
73,1013,-10.00,4.00,False,False
74,983,-10.00,4.00,False,False
75,815,-10.00,2.00,False,False
76,1490,-10.00,6.00,False,False
77,1122,-10.00,5.00,False,False
78,962,-10.00,3.00,False,False
79,843,-10.00,3.00,False,False
80,1025,-10.00,4.00,False,False
81,926,-10.00,4.00,False,False
82,952,-10.00,3.00,False,False
83,770,-10.00,1.00,False,False
84,911,-10.00,3.00,False,False
85,782,-10.00,2.00,False,False
86,867,-10.00,2.00,False,False
87,823,-10.00,2.00,False,False
88,887,-10.00,3.00,False,False
89,990,-10.00,4.00,False,False
90,989,-10.00,4.00,False,False
91,825,-10.00,4.00,False,False
92,921,-10.00,5.00,False,False
93,1059,-10.00,5.00,False,False
94,964,-10.00,5.00,False,False
95,824,-10.00,3.00,False,False
96,5444,-10.00,57.00,False,False
97,1220,-10.00,6.00,False,False
98,1335,-10.00,7.00,False,False
99,935,-10.00,5.00,False,False
100,919,-10.00,6.00,False,False
101,865,-10.00,6.00,False,False
102,1805,-10.00,14.00,False,False
103,852,-10.00,5.00,False,False
104,4719,-10.00,53.00,False,False
105,4428,-10.00,53.00,False,False
106,3123,-10.00,33.00,False,False
107,912,-10.00,7.00,False,False
108,1413,-10.00,10.00,False,False
109,3765,-10.00,28.00,False,False
110,1316,-10.00,9.00,False,False
111,1388,-10.00,19.00,False,False
112,1042,-10.00,14.00,False,False
113,1180,-10.00,16.00,False,False
114,1499,-10.00,21.00,False,False
115,2828,-10.00,36.00,False,False
116,1376,-10.00,19.00,False,False
117,1272,-10.00,17.00,False,False
118,1485,-10.00,19.00,False,False
119,1323,-10.00,18.00,False,False
120,1767,-10.00,25.00,False,False
121,1187,-10.00,21.00,False,False
122,1047,-10.00,17.00,False,False
123,910,-10.00,16.00,False,False
124,963,-10.00,15.00,False,False
125,1840,-10.00,35.00,False,False
126,994,-10.00,15.00,False,False
127,979,-10.00,16.00,False,False
128,1012,-10.00,16.00,False,False
129,885,-10.00,14.00,False,False
130,903,-10.00,14.00,False,False
131,1518,-10.00,36.00,False,False
132,1316,-10.00,28.00,False,False
133,2152,-10.00,54.00,False,False
134,2206,-10.00,56.00,False,False
135,1357,-10.00,30.00,False,False
136,2221,-10.00,55.00,False,False
137,1049,-10.00,23.00,False,False
138,1871,-10.00,38.00,False,False
139,919,-10.00,19.00,False,False
140,1092,-10.00,22.00,False,False
