episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
1,Scenario02,855,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
2,Scenario02,905,-907.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0004
3,Scenario02,800,-607.64,24.00,True,False,False,True,none,0,wall_collision,static.fence
4,Scenario02,598,-599.77,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
5,Scenario02,714,-599.71,21.00,True,False,False,True,none,0,wall_collision,static.fence
6,Scenario02,885,-907.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0012
7,Scenario02,567,-599.77,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
8,Scenario02,736,-599.68,21.00,True,False,False,True,none,0,wall_collision,static.fence
9,Scenario02,855,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
10,Scenario02,870,-907.86,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0008
11,Scenario02,887,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
12,Scenario02,874,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
13,Scenario02,695,-599.67,22.00,True,False,False,True,none,0,wall_collision,static.fence
14,Scenario02,857,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
15,Scenario02,796,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
16,Scenario02,803,-599.65,23.00,True,False,False,True,none,0,wall_collision,static.fence
17,Scenario02,548,-599.77,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
18,Scenario02,899,-907.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0007
19,Scenario02,896,-907.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0012
20,Scenario02,649,-599.75,17.00,True,False,False,True,none,0,wall_collision,static.vegetation
21,Scenario02,669,-599.75,17.00,True,False,False,True,none,0,wall_collision,static.vegetation
22,Scenario02,905,-414.00,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0010
23,Scenario02,856,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
24,Scenario02,791,-599.69,21.00,True,False,False,True,none,0,wall_collision,static.fence
25,Scenario02,625,-599.73,18.00,True,False,False,True,none,0,wall_collision,static.fence
26,Scenario02,889,-907.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0012
27,Scenario02,621,-599.76,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
28,Scenario02,978,-610.59,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
