episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
1,Scenario02,1473,-901.52,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
2,Scenario02,1255,-603.39,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
3,Scenario02,1148,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
4,Scenario02,1441,-601.93,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
5,Scenario02,1279,-604.66,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
6,Scenario02,1202,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0011
7,Scenario02,1447,-604.42,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
8,Scenario02,1474,-602.04,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
9,Scenario02,1284,-602.35,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
10,Scenario02,1403,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
11,Scenario02,1283,-604.43,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
12,Scenario02,1166,-410.63,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0014
13,Scenario02,1279,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
14,Scenario02,1355,-407.55,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0011
15,Scenario02,1444,-599.67,22.00,True,False,False,True,none,0,wall_collision,static.fence
16,Scenario02,1475,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0008
17,Scenario02,1358,-605.51,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
18,Scenario02,1380,-603.70,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
19,Scenario02,1338,-599.62,25.00,True,False,False,True,none,0,wall_collision,static.fence
20,Scenario02,1379,-599.17,22.00,True,False,False,True,none,0,wall_collision,static.fence
